TV,Radio,Newspaper,Sales
230.1,37.8,69.2,22.1
44.5,39.3,45.1,10.4
17.2,45.9,69.3,9.3
151.5,41.3,58.5,18.5
180.8,10.8,58.4,12.9
8.7,48.9,75,7.2
57.5,32.8,23.5,11.8
120.2,19.6,11.6,13.2
8.6,2.1,1,4.8
199.8,2.6,21.2,10.6
66.1,5.8,24.2,8.6
214.7,24,4,17.4
23.8,35.1,65.9,9.2
97.5,7.6,7.2,9.7
204.1,32.9,46,19
195.4,47.7,52.9,22.4
67.8,36.6,114,12.5
281.4,39.6,55.8,24.4
69.2,20.5,18.3,11.3
147.3,23.9,19.1,14.6
218.4,27.7,53.4,18
237.4,5.1,23.5,11.6
13.2,15.9,49.6,6.6
228.3,16.9,26.2,14.5
62.3,12.6,18.3,8.1
262.9,3.5,19.5,11.5
142.9,29.3,12.6,15.6
240.1,16.7,22.9,14.6
248.8,27.1,22.9,16.9
70.6,16,40.8,8.5
292.9,28.3,43.2,17.3
112.9,17.4,38.6,12.3
97.2,1.5,30,9.3
265.6,20,0.3,12.9
95.7,1.4,7.4,7.2
290.7,4.1,8.5,11.7
266.9,43.8,5,22.2
74.7,49.4,45.7,15.5
43.1,26.7,35.1,9.7
228,37.7,32,16.3
202.5,22.3,31.6,14.6
177,33.4,38.7,16.2
293.6,27.7,1.8,16.8
206.9,8.4,26.4,11.5
25.1,25.7,43.3,8.4
175.1,22.5,31.5,13.3
89.7,9.9,35.7,9.5
239.9,41.5,18.5,20.2
227.2,15.8,49.9,13.7
66.9,11.7,36.8,8.5
199.8,3.1,34.6,9.5
100.4,9.6,3.6,9.4
216.4,41.7,39.6,20.9
182.6,46.2,58.7,21.9
262.7,28.8,15.9,16.3
198.9,49.4,60,18.3
7.3,28.1,41.4,6.9
136.2,19.2,16.6,12.2
210.8,49.6,37.7,22.1
57.1,2,15.3,6.5
271.4,14,29.3,13.2
166.6,10,13.3,10.6
98.9,11.1,21.2,9.7
10.4,5.5,21.5,5.5
234.5,3.4,84.8,11.6
284.3,10.6,6.4,12.4
74.1,20.4,11.6,9.6
170.4,18,6.3,12.2
286.5,3.6,11,11.4
174.6,6.4,25.4,10.1
77.6,30.9,15,11.5
251.8,0.7,37.2,11.2
234.5,6,17.8,11.6
292,23.3,0.1,14.4
214.9,13.1,35.6,12.7
235.3,47.4,36.7,21.5
150.5,43.8,40.2,19.9
190.5,41,46.6,20.6
22.6,6.7,15.1,5.5
184.9,43.9,1.7,21.2
222.8,11.6,49.5,12.5
276.9,48.9,41.8,22.9
31.5,24.6,2.2,9.1
221.4,36.9,17.2,18.8
172.6,11.4,25.9,11.6
100.4,9.6,3.6,9.4
216.4,41.7,39.6,20.9
182.6,46.2,58.7,21.9
262.7,28.8,15.9,16.3
198.9,49.4,60,18.3
7.3,28.1,41.4,6.9
136.2,19.2,16.6,12.2
210.8,49.6,37.7,22.1
57.1,2,15.3,6.5
271.4,14,29.3,13.2
166.6,10,13.3,10.6
98.9,11.1,21.2,9.7
10.4,5.5,21.5,5.5
234.5,3.4,84.8,11.6
284.3,10.6,6.4,12.4
74.1,20.4,11.6,9.6
170.4,18,6.3,12.2
286.5,3.6,11,11.4
174.6,6.4,25.4,10.1
77.6,30.9,15,11.5
251.8,0.7,37.2,11.2
234.5,6,17.8,11.6
292,23.3,0.1,14.4
214.9,13.1,35.6,12.7
235.3,47.4,36.7,21.5
150.5,43.8,40.2,19.9
190.5,41,46.6,20.6
22.6,6.7,15.1,5.5
184.9,43.9,1.7,21.2
222.8,11.6,49.5,12.5
276.9,48.9,41.8,22.9
31.5,24.6,2.2,9.1
221.4,36.9,17.2,18.8
172.6,11.4,25.9,11.6
93.9,43.5,50.6,13
127.1,34,36,15.5
79.7,16.5,5.6,9.9
237.3,4.6,36.7,11.4
13.2,15.9,49.6,6.6
228.3,16.9,26.2,14.5
62.3,12.6,18.3,8.1
43.1,26.7,35.1,9.7
228,37.7,32,16.3
202.5,22.3,31.6,14.6
177,33.4,38.7,16.2
293.6,27.7,1.8,16.8
206.9,8.4,26.4,11.5
25.1,25.7,43.3,8.4
175.1,22.5,31.5,13.3
89.7,9.9,35.7,9.5
239.9,41.5,18.5,20.2
227.2,15.8,49.9,13.7
66.9,11.7,36.8,8.5
44.7,25.8,20.6,8.7
39.5,41.1,5.8,11.5
151.5,11.9,20.6,11.4
209.6,20.6,34.8,14.6
200,38.9,34.6,20.1
92.1,17.6,20,11.2
30.6,49.4,52.5,13.7
151.5,11.9,20.6,11.4
182.6,46.2,58.7,21.9
262.7,28.8,15.9,16.3
198.9,49.4,60,18.3
7.3,28.1,41.4,6.9
136.2,19.2,16.6,12.2
210.8,49.6,37.7,22.1
57.1,2,15.3,6.5
271.4,14,29.3,13.2
166.6,10,13.3,10.6
